gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Borowa,mielecki,PODKARPACKIE,1811022,5312.2443114212,4444.696365261678,867.5479461595227,0.163311002902166,wysokie ryzyko,66.75,292,0,37,0,0.0
Białe Błota,bydgoski,KUJAWSKO-POMORSKIE,0403012,1299.2861365451026,442.73773619802785,856.5484003470749,0.6592453934933071,wysokie ryzyko,77.3,59,0,18,0,0.0
Stalowa Wola,stalowowolski,PODKARPACKIE,1818011,5347.471673153909,4496.840639769157,850.6310333847525,0.1590716296180125,wysokie ryzyko,67.14,277,1,21,40000,47.02
Puławy,puławski,LUBELSKIE,0614092,5250.593570984187,4405.881704009084,844.7118669751028,0.1608793092733642,wysokie ryzyko,67.46,259,3,15,120000,142.06
Dragacz,świecki,KUJAWSKO-POMORSKIE,0414022,3027.364594099101,2185.743847777407,841.6207463216938,0.2780044227121404,wysokie ryzyko,69.05,228,1,21,40000,47.53
Czarna,łańcucki,PODKARPACKIE,1810032,1092.426532788726,251.70403639469157,840.7224963940346,0.7695917951094193,wysokie ryzyko,79.16,39,2,17,80000,95.16
Opole,Opole,OPOLSKIE,1661011,18288.28970009504,17448.858235329357,839.4314647656804,0.0458999435448202,wysokie ryzyko,63.83,383,1,18,40000,47.65
Tczew,tczewski,POMORSKIE,2214062,986.9295659560712,149.9508943849391,836.978671571132,0.8480632260320656,wysokie ryzyko,80.67,28,1,17,40000,47.79
Jemielno,górowski,DOLNOŚLĄSKIE,0204022,1329.859081593277,499.09840232245693,830.76067927082,0.6246982787646211,wysokie ryzyko,75.14,94,1,13,40000,48.15
Oława,oławski,DOLNOŚLĄSKIE,0215011,7913.938274872755,7087.6918857264955,826.2463891462589,0.1044039466127304,wysokie ryzyko,68.23,248,2,9,80000,96.82
Nowy Sącz,Nowy Sącz,MAŁOPOLSKIE,1262011,13701.445844302812,12878.880882576164,822.5649617266492,0.0600349022339623,wysokie ryzyko,64.93,353,1,30,40000,48.63
Skoczów,cieszyński,ŚLĄSKIE,2403103,2596.6664147005304,1781.9400141791482,814.726400521382,0.3137585929054899,wysokie ryzyko,70.71,190,2,18,80000,98.19
Deszczno,gorzowski,LUBUSKIE,0801032,2569.067951114621,1758.609544589923,810.4584065246978,0.315467874710387,wysokie ryzyko,69.49,217,1,56,40000,49.35
Otmuchów,nyski,OPOLSKIE,1607063,3726.544543406944,2916.1672693837672,810.377274023177,0.2174607775605173,wysokie ryzyko,68.1,252,3,14,120000,148.08
Mielec,mielecki,PODKARPACKIE,1811052,8810.302060102225,8007.606902942163,802.6951571600631,0.0911086988487145,wysokie ryzyko,65.41,339,0,21,0,0.0
Wojnicz,tarnowski,MAŁOPOLSKIE,1216133,4136.1667190401295,3338.21297186015,797.9537471799792,0.1929210791979774,wysokie ryzyko,67.29,267,1,23,40000,50.13
Stubno,przemyski,PODKARPACKIE,1813092,2474.564065620428,1676.8088440920887,797.7552215283391,0.3223821248403703,wysokie ryzyko,69.0,230,0,14,0,0.0
Gubin,krośnieński,LUBUSKIE,0802052,1131.5882374812022,344.86150156723374,786.7267359139687,0.6952411750630606,wysokie ryzyko,76.1,80,1,18,40000,50.84
