gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Nowe Ostrowy,kutnowski,ŁÓDZKIE,1002082,6.002731290150989,1.25,4.752731290150989,0.7917614599789027,niskie ryzyko,39.47,1133,0,1,0,0.0
Lubartów,lubartowski,LUBELSKIE,0608072,188.15967964234613,183.4265755984841,4.733104043862022,0.0251547199318084,wysokie ryzyko,36.61,1221,0,1,0,0.0
Skulsk,koniński,WIELKOPOLSKIE,3010092,52.05710305062467,47.32907314982266,4.728029900802006,0.0908239149651503,wysokie ryzyko,37.21,1204,0,2,0,0.0
Karlino,białogardzki,ZACHODNIOPOMORSKIE,3201033,64.57303879080392,59.87560525489089,4.697433535913032,0.0727460504240976,niskie ryzyko,24.31,1494,0,2,0,0.0
Jaśliska,krośnieński,PODKARPACKIE,1807102,101.6687355183484,96.9992034920405,4.669532026307897,0.0459288885860607,wysokie ryzyko,36.01,1236,0,1,0,0.0
Borzechów,lubelski,LUBELSKIE,0609022,29.96125902471579,25.31652218261053,4.644736842105263,0.1550247550770047,niskie ryzyko,25.48,1389,0,2,0,0.0
Harasiuki,niżański,PODKARPACKIE,1812012,13.771960759257194,9.1325002619028,4.639460497354396,0.3368772666764866,niskie ryzyko,30.23,1339,0,1,0,0.0
Żołynia,łańcucki,PODKARPACKIE,1810072,15.69473030324791,11.057783499710345,4.636946803537568,0.2954460964887039,niskie ryzyko,28.7,1355,0,2,0,0.0
Sienno,lipski,MAZOWIECKIE,1409053,31.75146319996956,27.14700498188032,4.604458218089238,0.1450156230309932,niskie ryzyko,25.42,1390,0,1,0,0.0
Żary,żarski,LUBUSKIE,0811102,4.589081636937538,0.0,4.589081636937538,1.0,wysokie ryzyko,55.01,687,0,1,0,0.0
Tomaszów Mazowiecki,tomaszowski,ŁÓDZKIE,1016011,5840.057222982371,5835.489902143135,4.567320839236316,0.0007820678231135,wysokie ryzyko,35.0,1260,0,2,0,0.0
Człuchów,człuchowski,POMORSKIE,2203032,4.564663292822577,0.0,4.564663292822577,1.0,niskie ryzyko,43.39,1036,0,1,0,0.0
Trojanów,garwoliński,MAZOWIECKIE,1403122,83.37267617517153,78.93872267450418,4.4339535006673545,0.0531823338782039,wysokie ryzyko,35.9,1239,0,1,0,0.0
Żabia Wola,grodziski,MAZOWIECKIE,1405062,4.420407236570582,0.0,4.420407236570582,1.0,niskie ryzyko,43.2,1040,0,1,0,0.0
Ostróda,ostródzki,WARMIŃSKO-MAZURSKIE,2815092,4.415942484207587,0.0,4.415942484207587,1.0,niskie ryzyko,42.14,1069,0,1,0,0.0
Kleszczów,bełchatowski,ŁÓDZKIE,1001042,4.377895499564825,0.0,4.377895499564825,1.0,niskie ryzyko,41.9,1076,0,2,0,0.0
Piła,pilski,WIELKOPOLSKIE,3019011,160.75381870626504,156.43230141810534,4.321517288159704,0.0268828281837343,wysokie ryzyko,35.14,1256,0,2,0,0.0
Wałcz,wałecki,ZACHODNIOPOMORSKIE,3217052,20.37044088039304,16.06192249366216,4.308518386730878,0.2115083523242697,wysokie ryzyko,39.78,1127,0,1,0,0.0
Nur,ostrowski,MAZOWIECKIE,1416062,75.47506182351034,71.19407238833882,4.280989435171532,0.0567205820272413,wysokie ryzyko,36.01,1237,0,1,0,0.0
Krzywiń,kościański,WIELKOPOLSKIE,3011043,11.452480194335704,7.207367380462675,4.245112813873029,0.370671919255763,niskie ryzyko,30.38,1336,0,1,0,0.0
Tymbark,limanowski,MAŁOPOLSKIE,1207122,110.55799578942738,106.32496678820677,4.233029001220633,0.0382878594261332,wysokie ryzyko,35.58,1244,0,2,0,0.0
Drawsko Pomorskie,drawski,ZACHODNIOPOMORSKIE,3203023,6.360943718499016,2.135307743067852,4.225635975431164,0.6643095997127109,niskie ryzyko,36.23,1231,0,1,0,0.0
Szulborze Wielkie,ostrowski,MAZOWIECKIE,1416092,4.215943617777146,0.0,4.215943617777146,1.0,wysokie ryzyko,54.48,703,0,2,0,0.0
Mieścisko,wągrowiecki,WIELKOPOLSKIE,3028043,9.982160501846494,5.851851851851852,4.130308649994642,0.4137690081451426,niskie ryzyko,30.05,1342,0,1,0,0.0
Żukowo,kartuski,POMORSKIE,2205083,15.914610695395169,11.785487521719409,4.129123173675758,0.2594548652623029,niskie ryzyko,28.0,1364,0,1,0,0.0
Susiec,tomaszowski,LUBELSKIE,0618082,7.052436255076259,2.93014469308184,4.122291561994419,0.5845202158370794,wysokie ryzyko,46.0,948,0,1,0,0.0
Garbatka-Letnisko,kozienicki,MAZOWIECKIE,1407012,4.0945682176270735,0.0,4.0945682176270735,1.0,niskie ryzyko,41.61,1080,0,1,0,0.0
Stary Lubotyń,ostrowski,MAZOWIECKIE,1416082,21.5369396010412,17.465511029612628,4.071428571428571,0.1890439703527672,wysokie ryzyko,39.01,1148,0,1,0,0.0
Redzikowo,słupski,POMORSKIE,2212082,4.5492618205955155,0.5005166153009377,4.048745205294578,0.8899784987017041,niskie ryzyko,40.5,1113,0,1,0,0.0
Lidzbark,działdowski,WARMIŃSKO-MAZURSKIE,2803043,45.33091361069553,41.3250621451168,4.005851465578731,0.0883690873733808,wysokie ryzyko,36.91,1211,0,1,0,0.0
Jarocin,jarociński,WIELKOPOLSKIE,3006023,8.929706746637464,4.929706746637465,4.0,0.4479430415233092,niskie ryzyko,31.59,1324,0,1,0,0.0
Lędziny,bieruńsko-lędziński,ŚLĄSKIE,2414031,48.842639758570144,44.842639758570144,4.0,0.0818956555127252,niskie ryzyko,24.27,1495,0,1,0,0.0
Niedźwiada,lubartowski,LUBELSKIE,0608092,49.614121054693626,45.657981590703,3.956139463990621,0.0797381749367171,niskie ryzyko,24.16,1496,0,1,0,0.0
Kolsko,nowosolski,LUBUSKIE,0804032,3.879744990576203,0.0,3.879744990576203,1.0,wysokie ryzyko,54.18,711,0,2,0,0.0
Głowno,zgierski,ŁÓDZKIE,1020052,4.669443142912153,0.819443142912152,3.85,0.824509450520668,niskie ryzyko,38.33,1172,0,2,0,0.0
Białogard,białogardzki,ZACHODNIOPOMORSKIE,3201011,1435.387235015049,1431.5870351076146,3.800199907434812,0.0026475085013522,wysokie ryzyko,34.14,1279,0,3,0,0.0
Borów,strzeliński,DOLNOŚLĄSKIE,0217012,124.88096953832576,121.08846660955857,3.792502928767226,0.030368942063693,wysokie ryzyko,35.44,1249,0,1,0,0.0
Lipusz,kościerski,POMORSKIE,2206062,7.72947151433242,3.9437572286181353,3.7857142857142856,0.4897766009868335,niskie ryzyko,31.55,1326,0,1,0,0.0
Sławków,będziński,ŚLĄSKIE,2401081,3.7791231339522215,0.0,3.7791231339522215,1.0,wysokie ryzyko,54.25,708,0,2,0,0.0
Giby,sejneński,PODLASKIE,2009022,16.429785834735164,12.666666666666666,3.7631191680684983,0.2290424967142706,niskie ryzyko,26.02,1383,0,1,0,0.0
Sławno,sławieński,ZACHODNIOPOMORSKIE,3213021,209.6233942382351,205.864620387009,3.758773851226079,0.0179310799965115,wysokie ryzyko,35.14,1257,0,1,0,0.0
Korzenna,nowosądecki,MAŁOPOLSKIE,1210062,34.248540845687735,30.538727251011707,3.709813594676026,0.1083203401683938,niskie ryzyko,24.38,1493,0,1,0,0.0
Boniewo,włocławski,KUJAWSKO-POMORSKIE,0418032,3.707483391641868,0.0,3.707483391641868,1.0,niskie ryzyko,41.65,1078,0,1,0,0.0
Grodziczno,nowomiejski,WARMIŃSKO-MAZURSKIE,2812032,3.6666666666666665,0.0,3.6666666666666665,1.0,niskie ryzyko,42.15,1068,0,1,0,0.0
Suszec,pszczyński,ŚLĄSKIE,2410062,3.637650903387737,0.0,3.637650903387737,1.0,niskie ryzyko,42.1,1072,0,1,0,0.0
Malczyce,średzki,DOLNOŚLĄSKIE,0218022,61.486704930366926,57.88082584945469,3.6058790809122416,0.0586448580224922,wysokie ryzyko,35.19,1254,0,1,0,0.0
Zembrzyce,suski,MAŁOPOLSKIE,1215092,79.06553195777525,75.47166984505074,3.59386211272451,0.0454542203629743,wysokie ryzyko,35.45,1247,0,1,0,0.0
Puńsk,sejneński,PODLASKIE,2009042,3.5844150708101834,0.0,3.5844150708101834,1.0,niskie ryzyko,42.02,1075,0,1,0,0.0
Gostynin,gostyniński,MAZOWIECKIE,1404022,64.51641189102722,60.95510216911359,3.5613097219136343,0.0552000586754411,wysokie ryzyko,35.06,1259,0,2,0,0.0
Drzycim,świecki,KUJAWSKO-POMORSKIE,0414032,3.5241547492570167,0.0,3.5241547492570167,1.0,niskie ryzyko,41.05,1096,0,2,0,0.0
Rudka,bielski,PODLASKIE,2003072,3.5132275132275126,0.0,3.5132275132275126,1.0,wysokie ryzyko,53.62,728,0,2,0,0.0
Strachówka,wołomiński,MAZOWIECKIE,1434102,3.4663816032202517,0.0,3.4663816032202517,1.0,wysokie ryzyko,53.65,727,0,2,0,0.0
Stryszów,wadowicki,MAŁOPOLSKIE,1218072,41.72310889553678,38.30480906894484,3.418299826591944,0.0819282147730273,wysokie ryzyko,35.39,1251,0,2,0,0.0
Stromiec,białobrzeski,MAZOWIECKIE,1401052,3.4144235533054417,0.0,3.4144235533054417,1.0,niskie ryzyko,41.76,1077,0,1,0,0.0
Skierniewice,Skierniewice,ŁÓDZKIE,1063011,39.67986001409696,36.2769219894998,3.4029380245971543,0.0857598293791409,wysokie ryzyko,35.45,1248,0,2,0,0.0
Zwoleń,zwoleński,MAZOWIECKIE,1436053,15.550887203084384,12.170803230450431,3.380083972633951,0.2173563429849546,niskie ryzyko,25.55,1388,0,1,0,0.0
Dzierzgoń,sztumski,POMORSKIE,2216013,8.333970916760359,4.973146174492318,3.360824742268041,0.4032681150241504,wysokie ryzyko,41.49,1084,0,2,0,0.0
Kościan,kościański,WIELKOPOLSKIE,3011011,547.1012511781369,543.7436200737925,3.357631104344457,0.0061371292738118,wysokie ryzyko,34.3,1272,0,1,0,0.0
Godziesze Wielkie,kaliski,WIELKOPOLSKIE,3007042,100.71849837520293,97.38278735499654,3.335711020206367,0.0331191496499477,wysokie ryzyko,34.3,1273,0,1,0,0.0
Dębica,dębicki,PODKARPACKIE,1803011,3905.0090873861654,3901.6766511525298,3.3324362336367233,0.0008533747704713,wysokie ryzyko,34.15,1278,0,1,0,0.0
Chłopice,jarosławski,PODKARPACKIE,1804032,43.89886872732695,40.572686674168565,3.3261820531583925,0.0757691974665363,niskie ryzyko,22.64,1505,0,1,0,0.0
Kościan,kościański,WIELKOPOLSKIE,3011032,57.960253189176655,54.63944045142467,3.320812737751985,0.0572946554755924,wysokie ryzyko,35.26,1253,0,1,0,0.0
Domaradz,brzozowski,PODKARPACKIE,1802022,92.61226654362942,89.32904419027504,3.283222353354376,0.035451268777745,wysokie ryzyko,34.27,1274,0,2,0,0.0
Szadek,zduńskowolski,ŁÓDZKIE,1019023,5.603478377109651,2.331303800125971,3.2721745769836796,0.5839541721710919,niskie ryzyko,32.56,1314,0,1,0,0.0
Chmielno,kartuski,POMORSKIE,2205012,8.509596211068152,5.253792865394857,3.255803345673295,0.3826037411080186,niskie ryzyko,28.68,1356,0,1,0,0.0
Jastrowie,złotowski,WIELKOPOLSKIE,3031023,3.2222227782527346,0.0,3.2222227782527346,1.0,niskie ryzyko,40.73,1107,0,2,0,0.0
Pniewy,grójecki,MAZOWIECKIE,1406092,6.292698716480199,3.0828772879087714,3.2098214285714284,0.5100866215261664,niskie ryzyko,31.64,1323,0,1,0,0.0
Ciechanów,ciechanowski,MAZOWIECKIE,1402011,369.7892417558781,366.6013977275028,3.187844028375278,0.0086207051704326,wysokie ryzyko,33.6,1291,0,1,0,0.0
Skaryszew,radomski,MAZOWIECKIE,1425103,4.45474679857031,1.2772016265163082,3.1775451720540024,0.7132942265256899,niskie ryzyko,35.65,1243,0,1,0,0.0
Kraśnik,kraśnicki,LUBELSKIE,0607011,267.70186716398644,264.5768908196457,3.124976344340701,0.0116733453428863,wysokie ryzyko,34.03,1283,0,1,0,0.0
Żarnów,opoczyński,ŁÓDZKIE,1007083,9.409741924848412,6.3078585383419465,3.101883386506465,0.3296459574853255,niskie ryzyko,27.39,1374,0,1,0,0.0
Grębków,węgrowski,MAZOWIECKIE,1433022,19.85275875998489,16.81993331031822,3.0328254496666696,0.1527659448408558,wysokie ryzyko,36.7,1219,0,1,0,0.0
Pszczew,międzyrzecki,LUBUSKIE,0803042,17.09174546833959,14.091745468339589,3.0,0.1755233253126277,wysokie ryzyko,36.38,1227,0,1,0,0.0
Mochowo,sierpecki,MAZOWIECKIE,1427032,8.5,5.5,3.0,0.3529411764705882,niskie ryzyko,27.7,1370,0,1,0,0.0
Łyse,ostrołęcki,MAZOWIECKIE,1415072,3.0,0.0,3.0,1.0,niskie ryzyko,41.09,1094,0,1,0,0.0
Barwice,szczecinecki,ZACHODNIOPOMORSKIE,3215023,4.509128412322822,1.5943503501107188,2.914778062212103,0.6464171777069865,niskie ryzyko,33.29,1297,0,1,0,0.0
Łagów,świebodziński,LUBUSKIE,0808022,3.292905913216197,0.3826381642326015,2.9102677489835953,0.8837992416677107,niskie ryzyko,37.81,1186,0,2,0,0.0
Trzebiatów,gryficki,ZACHODNIOPOMORSKIE,3205083,575.8261757508401,572.9202116703444,2.9059640804956524,0.0050465994823984,wysokie ryzyko,33.1,1303,0,2,0,0.0
Ślesin,koniński,WIELKOPOLSKIE,3010123,3.2439485984813734,0.350697918457071,2.8932506800243023,0.8918916537021433,niskie ryzyko,38.75,1158,0,1,0,0.0
Rymań,kołobrzeski,ZACHODNIOPOMORSKIE,3208052,2.8768532605969703,0.0,2.8768532605969703,1.0,niskie ryzyko,40.45,1114,0,1,0,0.0
Tarczyn,piaseczyński,MAZOWIECKIE,1418063,2.8617975030563483,0.0,2.8617975030563483,1.0,niskie ryzyko,40.43,1115,0,1,0,0.0
Lubartów,lubartowski,LUBELSKIE,0608011,20.81421372151722,17.967173431044273,2.8470402904729477,0.1367834657876001,wysokie ryzyko,35.5,1246,0,1,0,0.0
Nałęczów,puławski,LUBELSKIE,0614083,30.75354447855413,28.024578813586437,2.7289656649676868,0.0887366224361787,wysokie ryzyko,34.35,1269,0,2,0,0.0
Sławno,sławieński,ZACHODNIOPOMORSKIE,3213062,6.095099146090126,3.395099146090126,2.7,0.4429788482984713,niskie ryzyko,29.02,1351,0,1,0,0.0
Zielonki,krakowski,MAŁOPOLSKIE,1206172,363.44136067892066,360.77438774446847,2.666972934452167,0.0073381106912822,wysokie ryzyko,33.16,1299,0,1,0,0.0
Kalety,tarnogórski,ŚLĄSKIE,2413011,26.873578486911935,24.2234388882482,2.6501395986637335,0.0986150616284472,wysokie ryzyko,34.31,1271,0,2,0,0.0
Iława,iławski,WARMIŃSKO-MAZURSKIE,2807032,11.927651125451048,9.285394083835545,2.6422570416155025,0.2215236691470203,niskie ryzyko,24.89,1492,0,1,0,0.0
Ropczyce,ropczycko-sędziszowski,PODKARPACKIE,1815033,1596.079939568251,1593.4638855956389,2.6160539726119394,0.0016390494659807,wysokie ryzyko,32.36,1318,0,2,0,0.0
Izbica,krasnostawski,LUBELSKIE,0606043,244.5027828186975,241.90278281869757,2.6,0.0106338257995531,wysokie ryzyko,33.1,1304,0,1,0,0.0
Osielsko,bydgoski,KUJAWSKO-POMORSKIE,0403062,2.5373221832119617,0.0,2.5373221832119617,1.0,niskie ryzyko,39.76,1129,0,1,0,0.0
Suwałki,suwalski,PODLASKIE,2012072,8.821154677954311,6.292663506572767,2.528491171381543,0.2866394779019926,niskie ryzyko,25.61,1387,0,1,0,0.0
Opole Lubelskie,opolski,LUBELSKIE,0612053,3.6220879999133855,1.0937246259134668,2.5283633739999187,0.698040294454574,wysokie ryzyko,46.34,946,0,1,0,0.0
Duszniki-Zdrój,kłodzki,DOLNOŚLĄSKIE,0208011,425.20298402888625,422.67895440842824,2.524029620458001,0.0059360581069829,wysokie ryzyko,32.49,1315,0,2,0,0.0
Szamotuły,szamotulski,WIELKOPOLSKIE,3024073,39.67385614644455,37.200818985226334,2.473037161218217,0.0623341767457571,niskie ryzyko,21.4,1507,0,1,0,0.0
Działdowo,działdowski,WARMIŃSKO-MAZURSKIE,2803022,2.4642857142857144,0.0,2.4642857142857144,1.0,niskie ryzyko,39.45,1134,0,1,0,0.0
Radoszyce,konecki,ŚWIĘTOKRZYSKIE,2605043,3.2183706100833867,0.7631045753531225,2.455266034730264,0.7628910191504169,niskie ryzyko,34.66,1264,0,1,0,0.0
Węgrów,węgrowski,MAZOWIECKIE,1433011,101.51080056874298,99.06128554263287,2.449515026110107,0.0241305852420235,wysokie ryzyko,32.72,1311,0,1,0,0.0
Brzeźnio,sieradzki,ŁÓDZKIE,1014042,6.397707725131575,3.9568736762865586,2.440834048845016,0.3815169672814051,niskie ryzyko,27.72,1368,0,1,0,0.0
Rypin,rypiński,KUJAWSKO-POMORSKIE,0412042,2.4375,0.0,2.4375,1.0,niskie ryzyko,40.08,1124,0,1,0,0.0
Tarnawatka,tomaszowski,LUBELSKIE,0618092,2.411355720575672,0.0,2.411355720575672,1.0,niskie ryzyko,40.03,1125,0,1,0,0.0
Rościszewo,sierpecki,MAZOWIECKIE,1427042,15.452914643221591,13.068299258606208,2.3846153846153846,0.1543149263211257,wysokie ryzyko,35.57,1245,0,1,0,0.0
Waganiec,aleksandrowski,KUJAWSKO-POMORSKIE,0401082,2.3333333333333335,0.0,2.3333333333333335,1.0,niskie ryzyko,39.53,1131,0,1,0,0.0
Turośń Kościelna,białostocki,PODLASKIE,2002112,2.3295496199112917,0.0,2.3295496199112917,1.0,niskie ryzyko,39.25,1142,0,1,0,0.0
Lutocin,żuromiński,MAZOWIECKIE,1437042,2.271440593993977,0.0,2.271440593993977,1.0,niskie ryzyko,39.42,1135,0,1,0,0.0
Ciechocin,golubsko-dobrzyński,KUJAWSKO-POMORSKIE,0405022,12.504241521084731,10.356443518288152,2.14779800279658,0.1717655564453828,niskie ryzyko,22.94,1503,0,1,0,0.0
Bytnica,krośnieński,LUBUSKIE,0802032,2.091295681063123,0.0,2.091295681063123,1.0,niskie ryzyko,39.08,1146,0,1,0,0.0
Łęczyce,wejherowski,POMORSKIE,2215082,20.783474372120494,18.707454538280587,2.0760198338399083,0.0998880070131458,wysokie ryzyko,33.85,1286,0,1,0,0.0
Koluszki,łódzki wschodni,ŁÓDZKIE,1006073,2.059262170712476,0.0,2.059262170712476,1.0,niskie ryzyko,39.32,1141,0,1,0,0.0
Świątki,olsztyński,WARMIŃSKO-MAZURSKIE,2814122,2.0,0.0,2.0,1.0,niskie ryzyko,39.2,1143,0,1,0,0.0
Lubochnia,tomaszowski,ŁÓDZKIE,1016062,2.0,0.0,2.0,1.0,niskie ryzyko,38.9,1153,0,1,0,0.0
Rozprza,piotrkowski,ŁÓDZKIE,1010083,8.975061244937919,7.0,1.9750612449379183,0.2200610325697649,niskie ryzyko,22.95,1502,0,0,0,0.0
Sejny,sejneński,PODLASKIE,2009052,4.1028496004365005,2.130040272984769,1.9728093274517315,0.4808388119422767,niskie ryzyko,28.46,1359,0,1,0,0.0
Złocieniec,drawski,ZACHODNIOPOMORSKIE,3203063,4.6704833980744365,2.7051891939073887,1.9652942041670485,0.4207903201148957,wysokie ryzyko,39.5,1132,0,1,0,0.0
Ostrówek,wieluński,ŁÓDZKIE,1017062,3.49249686893129,1.527254685971412,1.965242182959878,0.5627040643736484,niskie ryzyko,29.78,1347,0,0,0,0.0
Dobrzany,stargardzki,ZACHODNIOPOMORSKIE,3214033,1.945601534952668,0.0,1.945601534952668,1.0,niskie ryzyko,38.79,1157,0,1,0,0.0
Dobre Miasto,olsztyński,WARMIŃSKO-MAZURSKIE,2814033,48.52292164758517,46.644991275882695,1.8779303717024691,0.0387019228838197,niskie ryzyko,19.33,1517,0,1,0,0.0
Krasnosielc,makowski,MAZOWIECKIE,1411042,48.01117436637236,46.14085838309536,1.8703159832769924,0.0389558474242818,wysokie ryzyko,31.82,1321,0,1,0,0.0
Michałów,pińczowski,ŚWIĘTOKRZYSKIE,2608032,55.90534989168964,54.06217170583883,1.8431781858508107,0.0329696207862353,niskie ryzyko,19.23,1518,0,1,0,0.0
Borowie,garwoliński,MAZOWIECKIE,1403032,4.737040673101434,2.9166344818775105,1.8204061912239229,0.3842918642351591,niskie ryzyko,26.48,1378,0,1,0,0.0
Sianów,koszaliński,ZACHODNIOPOMORSKIE,3209073,190.5051587228798,188.71663449387424,1.7885242290055616,0.0093883243949695,wysokie ryzyko,30.88,1332,0,0,0,0.0
Ostrów,ropczycko-sędziszowski,PODKARPACKIE,1815022,555.7270187378176,553.9455071355267,1.7815116022910855,0.0032057314872638,wysokie ryzyko,31.27,1327,0,1,0,0.0
Siemiątkowo,żuromiński,MAZOWIECKIE,1437052,1.75,0.0,1.75,1.0,niskie ryzyko,38.64,1161,0,1,0,0.0
Sokoły,wysokomazowiecki,PODLASKIE,2013082,3.17820826478001,1.4313533895090185,1.7468548752709918,0.5496351181982424,niskie ryzyko,29.2,1350,0,1,0,0.0
Karpacz,karkonoski,DOLNOŚLĄSKIE,0206011,1.708859250625803,0.0,1.708859250625803,1.0,niskie ryzyko,38.54,1163,0,1,0,0.0
Hażlach,cieszyński,ŚLĄSKIE,2403082,15.35070460116398,13.68378274393189,1.66692185723209,0.1085892732966598,niskie ryzyko,20.36,1511,0,1,0,0.0
Brzeziny,brzeziński,ŁÓDZKIE,1021022,1.6532778233274263,0.0,1.6532778233274263,1.0,niskie ryzyko,38.41,1169,0,1,0,0.0
Wieluń,wieluński,ŁÓDZKIE,1017093,20.81020391064765,19.183933132497412,1.6262707781502388,0.0781477579524412,niskie ryzyko,19.91,1513,0,1,0,0.0
Kowale Oleckie,olecki,WARMIŃSKO-MAZURSKIE,2813032,1.6174956866712316,0.0,1.6174956866712316,1.0,niskie ryzyko,38.32,1173,0,1,0,0.0
Końskowola,puławski,LUBELSKIE,0614053,217.34153106430173,215.74146795557508,1.6000631087266524,0.0073619758768206,wysokie ryzyko,30.45,1334,0,0,0,0.0
Kobylnica,słupski,POMORSKIE,2212063,1.587673581638543,0.0,1.587673581638543,1.0,niskie ryzyko,38.01,1180,0,1,0,0.0
Łuków,łukowski,LUBELSKIE,0611052,6.1749815375694395,4.595172584992085,1.5798089525773549,0.2558402714187207,niskie ryzyko,23.11,1501,0,1,0,0.0
Kępice,słupski,POMORSKIE,2212053,5.391237446025538,3.8271310565775503,1.5641063894479876,0.2901201078800673,niskie ryzyko,24.0,1497,0,1,0,0.0
Recz,choszczeński,ZACHODNIOPOMORSKIE,3202063,1.5411841655393854,0.0,1.5411841655393854,1.0,niskie ryzyko,37.91,1182,0,1,0,0.0
Łęka Opatowska,kępiński,WIELKOPOLSKIE,3008042,1.5028713952324426,0.0,1.5028713952324426,1.0,niskie ryzyko,38.04,1178,0,1,0,0.0
Jeżów,brzeziński,ŁÓDZKIE,1021043,1.5,0.0,1.5,1.0,niskie ryzyko,38.03,1179,0,1,0,0.0
Rawa Mazowiecka,rawski,ŁÓDZKIE,1013042,17.560628309832932,16.076780697640903,1.483847612192029,0.0844985490274946,niskie ryzyko,19.39,1516,0,1,0,0.0
Garbów,lubelski,LUBELSKIE,0609042,5.122621443663785,3.7049598752824746,1.4176615683813116,0.276745331266832,niskie ryzyko,23.36,1499,0,1,0,0.0
Świerczów,namysłowski,OPOLSKIE,1606042,3.8806668596306753,2.4675108184990022,1.413156041131673,0.3641528871834579,niskie ryzyko,25.09,1395,0,1,0,0.0
Dobre,miński,MAZOWIECKIE,1412063,2.274579756828643,0.8745797568286433,1.4,0.6154983116318438,niskie ryzyko,30.09,1341,0,1,0,0.0
Płoniawy-Bramura,makowski,MAZOWIECKIE,1411062,20.138536570027036,18.753921185411652,1.3846153846153846,0.0687545184726163,wysokie ryzyko,31.2,1330,0,0,0,0.0
Olsztynek,olsztyński,WARMIŃSKO-MAZURSKIE,2814093,1.376311837157694,0.0,1.376311837157694,1.0,wysokie ryzyko,50.22,816,0,1,0,0.0
Kiełczygłów,pajęczański,ŁÓDZKIE,1009022,13.481718439433548,12.107691397801853,1.3740270416316955,0.1019177968895059,niskie ryzyko,19.75,1515,0,1,0,0.0
Rychliki,elbląski,WARMIŃSKO-MAZURSKIE,2804082,1.35528665670445,0.0,1.35528665670445,1.0,niskie ryzyko,37.39,1198,0,1,0,0.0
Gdynia,Gdynia,POMORSKIE,2262011,833.193080487813,831.845789491886,1.347290995926923,0.0016170213453262,wysokie ryzyko,30.17,1340,0,1,0,0.0
Opatówek,kaliski,WIELKOPOLSKIE,3007083,11.88162814894767,10.561425854218442,1.3202022947292285,0.1111129113097312,niskie ryzyko,19.79,1514,0,1,0,0.0
Radowo Małe,łobeski,ZACHODNIOPOMORSKIE,3218032,1.3098023722890415,0.0,1.3098023722890415,1.0,niskie ryzyko,37.54,1196,0,1,0,0.0
Dłutów,pabianicki,ŁÓDZKIE,1008032,1.5497405976417007,0.2406331751873364,1.3091074224543642,0.8447268042448413,wysokie ryzyko,46.93,918,0,1,0,0.0
Ciechanów,ciechanowski,MAZOWIECKIE,1402022,3.659141561462712,2.38808122215071,1.271060339312002,0.3473657189704095,wysokie ryzyko,36.88,1212,0,1,0,0.0
Karnice,gryficki,ZACHODNIOPOMORSKIE,3205032,1.2571859128153555,0.0,1.2571859128153555,1.0,niskie ryzyko,37.02,1209,0,0,0,0.0
Siennica,miński,MAZOWIECKIE,1412133,5.657324274871038,4.43828177938248,1.2190424954885584,0.215480399612827,wysokie ryzyko,34.1,1282,0,1,0,0.0
Ujazd,strzelecki,OPOLSKIE,1611063,1.7094328352031165,0.5004324680175721,1.2090003671855445,0.7072523367330134,niskie ryzyko,31.22,1328,0,1,0,0.0
Grzmiąca,szczecinecki,ZACHODNIOPOMORSKIE,3215052,1.2075144372421922,0.0,1.2075144372421922,1.0,niskie ryzyko,37.26,1201,0,1,0,0.0
Krasocin,włoszczowski,ŚWIĘTOKRZYSKIE,2613022,1.198093554106959,0.0,1.198093554106959,1.0,niskie ryzyko,36.87,1213,0,0,0,0.0
Lutowiska,bieszczadzki,PODKARPACKIE,1801052,1.19763825534314,0.0,1.19763825534314,1.0,niskie ryzyko,37.05,1208,0,1,0,0.0
Rusiec,bełchatowski,ŁÓDZKIE,1001062,111.23113830419696,110.05802926780088,1.173109036396068,0.0105465884309106,wysokie ryzyko,29.87,1344,0,1,0,0.0
Rogowo,rypiński,KUJAWSKO-POMORSKIE,0412032,1.1428571428571428,0.0,1.1428571428571428,1.0,niskie ryzyko,36.75,1218,0,1,0,0.0
Mszczonów,żyrardowski,MAZOWIECKIE,1438023,1.1224445003756207,0.0,1.1224445003756207,1.0,niskie ryzyko,36.84,1215,0,1,0,0.0
Zaklików,stalowowolski,PODKARPACKIE,1818053,1.2599525418359598,0.1503418279244187,1.1096107139115412,0.8806765946078051,niskie ryzyko,34.26,1275,0,0,0,0.0
Biszcza,biłgorajski,LUBELSKIE,0602042,16.265988992691963,15.209832494803845,1.056156497888121,0.0649303585759608,wysokie ryzyko,30.3,1338,0,0,0,0.0
Dubienka,chełmski,LUBELSKIE,0603052,14.357952427436151,13.318298260293131,1.0396541671430206,0.072409640051208,niskie ryzyko,17.91,1522,0,1,0,0.0
Dąbrowa Zielona,częstochowski,ŚLĄSKIE,2404022,24.316570692198464,23.30911883253083,1.0074518596676338,0.0414306718007262,wysokie ryzyko,29.85,1345,0,1,0,0.0
Obsza,biłgorajski,LUBELSKIE,0602102,1.0,0.0,1.0,1.0,niskie ryzyko,36.35,1229,0,0,0,0.0
