candidate_id,nr_ref,wojewodztwo,powiat,gmina,teryt_gmi,recommended_action,priority_class,priority_score_v13,risk_class,recommended_power_class_w,new_pop_ge65_proxy,flood_risk_pop_ge65_gain_proxy,redundancy_gain_pop_proxy,failure_loss_pop_night_proxy,estimated_cost_pln,cost_per_new_person_ge65_pln,candidate_lat,candidate_lon,candidate_source,candidate_type,effect_method
EXIST-SOiA-20260415-81381,SOiA-20260415-81381,LUBELSKIE,lubartowski,Kock,,integracja,A,87.29,,1200,0.0,0.0,0.0,2960.64,5000,0.0,51.639641,22.44439,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260417-10298,SOiA-20260417-10298,POMORSKIE,bytowski,Bytów,,integracja,A,87.29,,600,0.0,0.0,0.0,2960.06,5000,0.0,54.184855,17.493764,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-56332,SOiA-20260423-56332,ŚLĄSKIE,tarnogórski,Tarnowskie Góry,,integracja,A,87.29,,600,0.0,0.0,0.0,2959.91,5000,0.0,50.442806,18.849151,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260415-73707,SOiA-20260415-73707,POMORSKIE,tczewski,Tczew,,integracja,A,87.29,,900,0.0,0.0,0.0,2959.9,5000,0.0,54.104101,18.804635,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260414-84464,SOiA-20260414-84464,ŚLĄSKIE,m. Gliwice,Gliwice,,integracja,A,87.29,,1200,0.0,0.0,0.0,2959.85,5000,0.0,50.278204,18.682419,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260417-44734,SOiA-20260417-44734,LUBUSKIE,świebodziński,Świebodzin,,integracja,A,87.28,,900,0.0,0.0,0.0,2958.24,5000,0.0,52.251359,15.514138,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-94790,SOiA-20260422-94790,ZACHODNIOPOMORSKIE,m. Szczecin,Szczecin,,integracja,A,87.28,,900,0.0,0.0,0.0,2955.38,5000,0.0,53.474701,14.519254,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
NEW-15108,,MAZOWIECKIE,otwocki,Otwock,1417021,nowa_syrena,A,87.27,wysokie ryzyko,600,168.2,168.2,0.0,0.0,40000,237.82,52.1035911,21.2554532,nearest_public_osm_object,school,gap_population_proxy
EXIST-SOiA-20260415-35499,SOiA-20260415-35499,DOLNOŚLĄSKIE,kamiennogórski,Kamienna Góra,,integracja,A,87.27,,900,0.0,0.0,0.0,2951.08,5000,0.0,50.783701,16.02257,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260409-65709,SOiA-20260409-65709,WIELKOPOLSKIE,ostrowski,Ostrów Wielkopolski,,integracja,A,87.27,,600,0.0,0.0,0.0,2945.58,5000,0.0,51.625617,17.800802,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-66017,SOiA-20260422-66017,LUBUSKIE,m. Gorzów Wielkopolski,Gorzów Wielkopolski,,integracja,A,87.27,,1200,0.0,0.0,0.0,2945.32,5000,0.0,52.717474,15.259111,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
