risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,poziom,teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina
niskie ryzyko,2976.1038101495483,2967.031586203116,1280.288990347317,1275.8606618165786,1695.8148198022309,1691.1709243865373,powiat,04,KUJAWSKO-POMORSKIE,0403,bydgoski,,
wysokie ryzyko,5368.798664959412,5266.23500929974,4221.465351574097,4090.168724157393,1147.3333133853153,1176.0662851423472,powiat,04,KUJAWSKO-POMORSKIE,0403,bydgoski,,
niskie ryzyko,3616.78204222108,3501.8282344529775,869.7254011378164,871.8132991643997,2747.0566410832635,2630.014935288578,powiat,04,KUJAWSKO-POMORSKIE,0404,chełmiński,,
wysokie ryzyko,1794.7938646398616,1635.9965316901455,210.08803766147764,199.42091805902996,1584.705826978384,1436.575613631116,powiat,04,KUJAWSKO-POMORSKIE,0404,chełmiński,,
niskie ryzyko,199.3528742976774,315.56294631437754,24.879039769719743,22.89701287678629,174.47383452795765,292.6659334375912,powiat,04,KUJAWSKO-POMORSKIE,0405,golubsko-dobrzyński,,
wysokie ryzyko,30.680344422248098,32.084157748007534,0.0,0.0,30.680344422248098,32.084157748007534,powiat,04,KUJAWSKO-POMORSKIE,0405,golubsko-dobrzyński,,
niskie ryzyko,1292.185239145638,1288.1300209628723,762.4492299862933,761.085913835216,529.7360091593447,527.0441071276566,powiat,04,KUJAWSKO-POMORSKIE,0406,grudziądzki,,
wysokie ryzyko,484.6688351337287,478.68979665721486,245.69266004729815,241.46597718516975,238.9761750864306,237.22381947204508,powiat,04,KUJAWSKO-POMORSKIE,0406,grudziądzki,,
niskie ryzyko,822.5102534544372,814.8996040328699,631.0700962115328,629.6912879655509,191.4401572429045,185.208316067319,powiat,04,KUJAWSKO-POMORSKIE,0407,inowrocławski,,
wysokie ryzyko,1032.9448717675757,1078.660408510043,981.25964691255,1026.9751836550176,51.685224855025346,51.685224855025346,powiat,04,KUJAWSKO-POMORSKIE,0407,inowrocławski,,
niskie ryzyko,190.06179963461688,188.15322661881825,158.49352252104222,157.3071679987434,31.568277113574656,30.8460586200748,powiat,04,KUJAWSKO-POMORSKIE,0408,lipnowski,,
wysokie ryzyko,228.36070160386632,220.5205098835131,220.48570160386632,212.6455098835131,7.875,7.875,powiat,04,KUJAWSKO-POMORSKIE,0408,lipnowski,,
niskie ryzyko,26.50632953590999,26.49730858039971,1.9757379689617292,1.9757379689617292,24.530591566948264,24.52157061143798,powiat,04,KUJAWSKO-POMORSKIE,0409,mogileński,,
wysokie ryzyko,3.0,3.0,3.0,3.0,0.0,0.0,powiat,04,KUJAWSKO-POMORSKIE,0409,mogileński,,
