wojewodztwo,powiat,gmina,wojewodztwo_key,powiat_key,gmina_key,siren_records_without_gsm,unique_sites_without_gsm,integration_cost_records_pln,integration_cost_unique_sites_pln
KUJAWSKO-POMORSKIE,inowrocławski,Złotniki Kujawskie,kujawsko_pomorskie,inowroclawski,zlotniki_kujawskie,1,1,5000,5000
KUJAWSKO-POMORSKIE,włocławski,Boniewo,kujawsko_pomorskie,wloclawski,boniewo,1,1,5000,5000
KUJAWSKO-POMORSKIE,włocławski,Kowal,kujawsko_pomorskie,wloclawski,kowal,1,1,5000,5000
KUJAWSKO-POMORSKIE,żniński,Janowiec Wielkopolski,kujawsko_pomorskie,zninski,janowiec_wielkopolski,1,1,5000,5000
KUJAWSKO-POMORSKIE,żniński,Rogowo,kujawsko_pomorskie,zninski,rogowo,1,1,5000,5000
LUBELSKIE,chełmski,Rejowiec,lubelskie,chelmski,rejowiec,1,1,5000,5000
LUBELSKIE,janowski,Chrzanów,lubelskie,janowski,chrzanow,1,1,5000,5000
LUBELSKIE,krasnostawski,Rudnik,lubelskie,krasnostawski,rudnik,1,1,5000,5000
LUBELSKIE,włodawski,Wola Uhruska,lubelskie,wlodawski,wola_uhruska,1,1,5000,5000
LUBELSKIE,włodawski,Wyryki,lubelskie,wlodawski,wyryki,1,1,5000,5000
LUBELSKIE,łukowski,Serokomla,lubelskie,lukowski,serokomla,1,1,5000,5000
LUBUSKIE,gorzowski,Lubiszyn,lubuskie,gorzowski,lubiszyn,1,1,5000,5000
LUBUSKIE,sulęciński,Krzeszyce,lubuskie,sulecinski,krzeszyce,1,1,5000,5000
LUBUSKIE,sulęciński,Lubniewice,lubuskie,sulecinski,lubniewice,1,1,5000,5000
LUBUSKIE,słubicki,Górzyca,lubuskie,slubicki,gorzyca,1,1,5000,5000
LUBUSKIE,zielonogórski,Bojadła,lubuskie,zielonogorski,bojadla,1,1,5000,5000
LUBUSKIE,żagański,Gozdnica,lubuskie,zaganski,gozdnica,1,1,5000,5000
LUBUSKIE,żarski,Brody,lubuskie,zarski,brody,1,1,5000,5000
MAZOWIECKIE,ciechanowski,Ciechanów,mazowieckie,ciechanowski,ciechanow,1,1,5000,5000
MAZOWIECKIE,ciechanowski,Glinojeck,mazowieckie,ciechanowski,glinojeck,1,1,5000,5000
MAZOWIECKIE,ciechanowski,Gołymin-Ośrodek,mazowieckie,ciechanowski,golymin_osrodek,1,1,5000,5000
MAZOWIECKIE,ciechanowski,Sońsk,mazowieckie,ciechanowski,sonsk,1,1,5000,5000
MAZOWIECKIE,garwoliński,Maciejowice,mazowieckie,garwolinski,maciejowice,1,1,5000,5000
MAZOWIECKIE,grójecki,Mogielnica,mazowieckie,grojecki,mogielnica,1,1,5000,5000
MAZOWIECKIE,makowski,Czerwonka,mazowieckie,makowski,czerwonka,1,1,5000,5000
MAZOWIECKIE,miński,Halinów,mazowieckie,minski,halinow,1,1,5000,5000
MAZOWIECKIE,miński,Sulejówek,mazowieckie,minski,sulejowek,1,1,5000,5000
MAZOWIECKIE,ostrowski,Brok,mazowieckie,ostrowski,brok,1,1,5000,5000
MAZOWIECKIE,ostrowski,Szulborze Wielkie,mazowieckie,ostrowski,szulborze_wielkie,1,1,5000,5000
MAZOWIECKIE,ostrołęcki,Czarnia,mazowieckie,ostrolecki,czarnia,1,1,5000,5000
MAZOWIECKIE,pruszkowski,Michałowice,mazowieckie,pruszkowski,michalowice,1,1,5000,5000
MAZOWIECKIE,pruszkowski,Pruszków,mazowieckie,pruszkowski,pruszkow,1,0,5000,0
MAZOWIECKIE,radomski,Iłża,mazowieckie,radomski,ilza,1,0,5000,0
MAZOWIECKIE,radomski,Jastrzębia,mazowieckie,radomski,jastrzebia,1,1,5000,5000
MAZOWIECKIE,radomski,Przytyk,mazowieckie,radomski,przytyk,1,1,5000,5000
MAZOWIECKIE,wołomiński,Jadów,mazowieckie,wolominski,jadow,1,1,5000,5000
