gap_id,risk_class,pop_outside_night,pop_outside_day,area_ha,teryt_gmi,wojewodztwo,powiat,gmina,priority_score_v12,priority_class,recommended_action_seed,procurement_action,estimated_new_siren_cost_pln,new_siren_cost_per_pop_outside_night_pln,x_2180,y_2180,lat,lon,estimated_unit_cost_pln,cost_per_pop_outside_night_pln
21742,niskie ryzyko,1.4437093342479388,1.4437093342479388,1.0,2607022,ŚWIĘTOKRZYSKIE,ostrowiecki,Bałtów,32.17,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,676650.0,351050.0,50.9991263,21.5183484,0,0.0
26451,niskie ryzyko,3.358331884421948,3.3583318844219483,2.0,1204062,MAŁOPOLSKIE,dąbrowski,Radgoszcz,32.16,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,650550.0,265700.0,50.2392925,21.1119034,0,0.0
12183,niskie ryzyko,2.0172050783137845,2.0172050783137845,1.0,1434052,MAZOWIECKIE,wołomiński,Dąbrówka,32.16,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,651650.0,518350.0,52.5098559,21.2353056,0,0.0
30105,niskie ryzyko,4.876345210649529,4.876345210649529,1.0,1215082,MAŁOPOLSKIE,suski,Zawoja,32.15,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,547850.0,202250.0,49.6857373,19.6635581,0,0.0
22593,niskie ryzyko,3.116047997672297,3.1160479976722963,2.0,2404052,ŚLĄSKIE,częstochowski,Kłomnice,32.15,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,526750.0,333850.0,50.8709343,19.3802802,0,0.0
30181,niskie ryzyko,2.174831083044154,2.174831083044154,1.0,2417052,ŚLĄSKIE,żywiecki,Koszarawa,32.15,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,530250.0,200450.0,49.6706838,19.4193604,0,0.0
12335,niskie ryzyko,5.790607961173547,5.790607961173547,2.0,0418123,KUJAWSKO-POMORSKIE,włocławski,Lubraniec,32.14,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,497300.0,515550.0,52.5057819,18.9602086,0,0.0
5183,niskie ryzyko,4.129410854312836,3.701052024982624,8.0,3204023,ZACHODNIOPOMORSKIE,goleniowski,Goleniów,32.14,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,229550.0,650800.0,53.6519265,14.9059067,0,0.0
12979,niskie ryzyko,3.336554085559129,3.3071820822158378,2.0,1408022,MAZOWIECKIE,legionowski,Jabłonna,32.14,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,619600.0,506850.0,52.4144646,20.7590409,0,0.0
15785,niskie ryzyko,2.5493097613428155,2.5493097613428155,1.0,1011043,ŁÓDZKIE,poddębicki,Uniejów,32.14,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,481450.0,466450.0,52.0639107,18.7293239,0,0.0
16169,niskie ryzyko,2.4527275096384527,2.4527275096384527,1.0,1417072,MAZOWIECKIE,otwocki,Sobienie-Jeziory,32.14,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,659250.0,457850.0,51.9640448,21.3187106,0,0.0
25793,niskie ryzyko,1.165674517831328,1.165674517831328,2.0,1204073,MAŁOPOLSKIE,dąbrowski,Szczucin,32.14,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,657000.0,275550.0,50.3261616,21.2064055,0,0.0
20747,niskie ryzyko,3.4134366360978863,3.4134366360978867,1.0,1409063,MAZOWIECKIE,lipski,Solec nad Wisłą,32.13,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,688950.0,367750.0,51.1452684,21.7022287,0,0.0
11505,niskie ryzyko,3.3069698292253302,2.9413650948730297,1.0,0803053,LUBUSKIE,międzyrzecki,Skwierzyna,32.13,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,264050.0,531850.0,52.6010727,15.5145666,0,0.0
28586,niskie ryzyko,3.0554085025976434,3.0554085025976443,12.0,1216042,MAŁOPOLSKIE,tarnowski,Pleśna,32.13,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,632200.0,229150.0,49.915029,20.8420039,0,0.0
28435,niskie ryzyko,2.709230661156057,2.709230661156057,1.0,1216042,MAŁOPOLSKIE,tarnowski,Pleśna,32.13,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,638850.0,232450.0,49.9431934,20.9357954,0,0.0
6647,niskie ryzyko,2.566182610117844,2.566182610117844,1.0,0406012,KUJAWSKO-POMORSKIE,grudziądzki,Grudziądz,32.13,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,474450.0,616650.0,53.41428,18.615478,0,0.0
28227,niskie ryzyko,2.132682201815383,2.132682201815383,2.0,1213093,MAŁOPOLSKIE,oświęcimski,Zator,32.13,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,533600.0,235750.0,49.9880906,19.4688604,0,0.0
28178,niskie ryzyko,4.5587665173546075,2.248548465204403,1.0,1803063,PODKARPACKIE,dębicki,Pilzno,32.12,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,666850.0,236550.0,49.9728811,21.3276262,0,0.0
29564,niskie ryzyko,3.8077637267062503,3.8077637267062503,1.0,1209042,MAŁOPOLSKIE,myślenicki,Pcim,32.12,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,567850.0,213750.0,49.7872697,19.9428762,0,0.0
12525,niskie ryzyko,1.2549019607843137,1.2449178610069764,1.0,1434093,MAZOWIECKIE,wołomiński,Radzymin,32.12,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,644650.0,513250.0,52.4659271,21.1299897,0,0.0
25865,niskie ryzyko,4.525889448158044,4.525889448158044,1.0,0208083,DOLNOŚLĄSKIE,kłodzki,Lądek-Zdrój,32.11,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,349650.0,274450.0,50.3180078,16.8874201,0,0.0
25378,niskie ryzyko,3.5876101379388654,3.587610137938866,2.0,2601043,ŚWIĘTOKRZYSKIE,buski,Pacanów,32.11,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,648200.0,281550.0,50.3823834,21.0851863,0,0.0
14608,niskie ryzyko,2.657432856387966,2.657432856387966,2.0,3030043,WIELKOPOLSKIE,wrzesiński,Pyzdry,32.11,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,415400.0,478550.0,52.1665537,17.762681,0,0.0
27018,niskie ryzyko,4.290344082151378,4.290344082151378,1.0,0208103,DOLNOŚLĄSKIE,kłodzki,Międzylesie,32.1,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,334650.0,252550.0,50.1171287,16.6863745,0,0.0
28333,niskie ryzyko,3.7142857142857144,3.714285714285714,2.0,1206113,MAŁOPOLSKIE,krakowski,Skawina,32.1,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,548550.0,234300.0,49.9740157,19.6772791,0,0.0
28256,niskie ryzyko,3.452342126025256,1.289946374207398,1.0,1206113,MAŁOPOLSKIE,krakowski,Skawina,32.1,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,558550.0,235450.0,49.9834627,19.8169419,0,0.0
11856,niskie ryzyko,2.629954702086579,2.6299547020865788,2.0,0418043,KUJAWSKO-POMORSKIE,włocławski,Brześć Kujawski,32.09,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,493150.0,525500.0,52.5952239,18.8988422,0,0.0
18037,niskie ryzyko,2.1611178105174855,2.1611178105174855,5.0,1407053,MAZOWIECKIE,kozienicki,Kozienice,32.09,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,681900.0,418650.0,51.6049023,21.6275892,0,0.0
19398,niskie ryzyko,4.119887614521421,4.119887614521421,1.0,1003042,ŁÓDZKIE,łaski,Widawa,32.08,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,500450.0,391850.0,51.3932633,19.0064698,0,0.0
