teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina,risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,pct_ge65_of_total,pct_outside_ge65_of_total
14,MAZOWIECKIE,1412,miński,1412063,Dobre,niskie ryzyko,2.274579756828643,2.274579756828643,0.8745797568286433,0.8745797568286433,1.4,1.4,38.45,61.55
14,MAZOWIECKIE,1412,miński,1412052,Dębe Wielkie,niskie ryzyko,71.97884963563115,69.62745082369997,59.74351981355021,57.39212100161903,12.23532982208094,12.23532982208094,83.0,17.0
14,MAZOWIECKIE,1412,miński,1412052,Dębe Wielkie,wysokie ryzyko,9.451389962856076,9.185134010888122,6.217794041311165,6.217794041311164,3.2335959215449117,2.9673399695769582,65.79,34.21
14,MAZOWIECKIE,1412,miński,1412073,Halinów,niskie ryzyko,21.0941669521086,17.836121466977783,20.396453481516332,17.144812959597797,0.6977134705922666,0.6913085073799852,96.69,3.31
14,MAZOWIECKIE,1412,miński,1412082,Jakubów,niskie ryzyko,13.66368163489263,13.66368163489263,2.2405918437343613,2.2405918437343613,11.423089791158269,11.423089791158269,16.4,83.6
14,MAZOWIECKIE,1412,miński,1412103,Latowicz,niskie ryzyko,29.27879414866247,28.867724975316595,29.27879414866247,28.867724975316595,0.0,0.0,100.0,0.0
14,MAZOWIECKIE,1412,miński,1412112,Mińsk Mazowiecki,niskie ryzyko,79.83128588957844,79.64230824640327,25.162330064927783,25.162330064927783,54.66895582465065,54.479978181475495,31.52,68.48
14,MAZOWIECKIE,1412,miński,1412133,Siennica,niskie ryzyko,5.204020933131279,2.096773496545503,3.984978437642721,0.877731001056945,1.2190424954885584,1.2190424954885584,76.57,23.43
14,MAZOWIECKIE,1412,miński,1412133,Siennica,wysokie ryzyko,0.4533033417397595,0.4533033417397595,0.4533033417397595,0.4533033417397595,0.0,0.0,100.0,0.0
14,MAZOWIECKIE,1412,miński,1412143,Stanisławów,niskie ryzyko,26.60680008226558,26.206066375138413,22.62598436722144,22.225250660094275,3.98081571504414,3.98081571504414,85.04,14.96
14,MAZOWIECKIE,1412,miński,1412143,Stanisławów,wysokie ryzyko,14.277047255403204,14.277047255403204,0.0,0.0,14.277047255403204,14.277047255403204,0.0,100.0
14,MAZOWIECKIE,1413,mławski,1413042,Radzanów,niskie ryzyko,65.2874011317507,63.513073229518234,43.70495169658141,42.05455160605552,21.58244943516929,21.458521623462715,66.94,33.06
14,MAZOWIECKIE,1413,mławski,1413052,Strzegowo,niskie ryzyko,41.401843090626706,41.89469772914012,29.57777060136536,30.076410292569545,11.82407248926135,11.81828743657058,71.44,28.56
14,MAZOWIECKIE,1413,mławski,1413052,Strzegowo,wysokie ryzyko,12.127842197250114,11.973136014745585,12.127842197250114,11.973136014745585,0.0,0.0,100.0,0.0
14,MAZOWIECKIE,1413,mławski,1413062,Stupsk,niskie ryzyko,7.14074876626932,7.14074876626932,0.6011590660115148,0.6011590660115149,6.539589700257805,6.539589700257805,8.42,91.58
14,MAZOWIECKIE,1413,mławski,1413072,Szreńsk,niskie ryzyko,6.462953676427597,6.462953676427599,3.249702121161621,3.2497021211616213,3.213251555265977,3.2132515552659773,50.28,49.72
14,MAZOWIECKIE,1413,mławski,1413072,Szreńsk,wysokie ryzyko,5.535482838432511,5.535482838432511,2.0286636187397216,2.028663618739721,3.5068192196927894,3.5068192196927894,36.65,63.35
14,MAZOWIECKIE,1413,mławski,1413082,Szydłowo,niskie ryzyko,0.0964335135113548,0.0964335135113548,0.0964335135113548,0.0964335135113548,0.0,0.0,100.0,0.0
14,MAZOWIECKIE,1414,nowodworski,1414022,Czosnów,niskie ryzyko,4511.834009465471,4463.523900509937,1945.624665776941,1986.5036721635515,2566.209343688531,2477.020228346386,43.12,56.88
14,MAZOWIECKIE,1414,nowodworski,1414022,Czosnów,wysokie ryzyko,5356.456214988059,5382.804170329378,2913.909825556054,2885.3894866131136,2442.546389432005,2497.4146837162652,54.4,45.6
14,MAZOWIECKIE,1414,nowodworski,1414032,Leoncin,niskie ryzyko,3021.7651177821544,2980.680520483698,907.7564812346732,921.878294816951,2114.0086365474817,2058.802225666746,30.04,69.96
14,MAZOWIECKIE,1414,nowodworski,1414032,Leoncin,wysokie ryzyko,2292.7870111770626,2324.26090229644,954.0087868049832,934.5278023405348,1338.7782243720794,1389.7330999559051,41.61,58.39
14,MAZOWIECKIE,1414,nowodworski,1414043,Nasielsk,niskie ryzyko,71.93429876734068,71.65084100771895,17.447000800238655,17.433855647953557,54.48729796710203,54.2169853597654,24.25,75.75
14,MAZOWIECKIE,1414,nowodworski,1414043,Nasielsk,wysokie ryzyko,39.66198245163891,40.10680470195229,14.790493103038395,14.790493103038395,24.87148934860052,25.316311598913902,37.29,62.71
14,MAZOWIECKIE,1414,nowodworski,1414011,Nowy Dwór Mazowiecki,niskie ryzyko,4620.9359455635395,4876.881710761771,3490.3929610878995,3896.1789119708224,1130.5429844756404,980.7027987909466,75.53,24.47
14,MAZOWIECKIE,1414,nowodworski,1414011,Nowy Dwór Mazowiecki,wysokie ryzyko,16053.569238135216,15674.006957618009,12730.989322011515,12722.209894072084,3322.579916123701,2951.797063545926,79.3,20.7
14,MAZOWIECKIE,1414,nowodworski,1414052,Pomiechówek,niskie ryzyko,444.2902840979596,432.8922900687887,266.34525962326256,257.8816730901967,177.94502447469705,175.0106169785919,59.95,40.05
14,MAZOWIECKIE,1414,nowodworski,1414052,Pomiechówek,wysokie ryzyko,597.7826993964836,574.9714516416975,399.0843118534051,387.0566633773603,198.6983875430785,187.91478826433723,66.76,33.24
14,MAZOWIECKIE,1414,nowodworski,1414063,Zakroczym,niskie ryzyko,34.5262928511241,31.922733539425213,30.933005481950953,27.49675649986479,3.593287369173142,4.4259770395604185,89.59,10.41
